,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/5,/intelcpu/0/load/6,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/temperature/5,/intelcpu/0/temperature/6,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/5,/intelcpu/0/clock/6,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0,/hdd/2/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space","Used Space"
10/09/2024 20:31:13,0,5.46875,0,0,0,0.78125,1.04166865,46,46,46,44,45,45,46,3914.17578,3914.17578,3914.17578,802.907837,3914.17578,3914.17578,13.3592014,9.145524,0,1.10907972,100.36348,23.4052734,7.46072769,24.4155426,45,797.000061,2999.7002,1594.00012,1,2,0,0,6144,1084.11328,5059.88672,17.6450729,18.082,0.0029296875,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:14,0,0,0,0,0,2.34375,0.390625,46,45,46,45,45,45,47,903.2723,903.2723,903.2723,3914.17969,903.2723,903.2723,11.5647955,7.38493729,0,1.10399055,100.363586,23.411087,7.46258163,24.4136887,44,797.000061,2999.7002,1594.00012,0,2,0,0,6144,1084.11328,5059.88672,17.6450729,17.828001,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:15,0,0,0,0.78125,0,0,0.130206347,47,46,47,48,48,47,48,3914.17651,3914.17651,3914.17651,3914.17651,3914.17651,802.908,14.5253391,8.930024,0,1.10252154,100.3635,23.4177475,7.46470642,24.4115639,44,797.000061,810.000061,1594.00012,4,8,0,1,6144,1084.11328,5059.88672,17.6450729,8.553,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:16,0,0,0,0,0.78125,2.34375,0.520831347,47,47,49,51,47,48,51,3914.17847,3914.17847,3914.17847,3914.17847,3914.17847,3914.17847,13.7841311,7.19297028,0,1.07295954,100.363548,23.3529282,7.444042,24.4322281,44,797.000061,810.000061,1594.00012,3,8,0,1,6144,1084.11328,5059.88672,17.6450729,9.158,0.0302734375,0.0009765625,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:17,0,2.34375,0,1.58730149,0,2.34375,1.04579926,45,45,46,44,45,45,46,903.2718,802.908264,3914.17773,3914.17773,802.908264,3914.17773,13.8993034,7.257125,0,1.03495026,100.363533,23.3565369,7.44519424,24.431076,44,797.000061,810.000061,1594.00012,0,7,0,0,6144,1084.11328,5059.88672,17.6450729,7.72400045,0.0068359375,0.0009765625,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:18,0,0,2.34375,0.7692337,0,0.78125,0.649040937,44,43,45,44,44,45,45,3914.17749,3914.17749,3914.17749,3914.17749,3914.17749,3914.17749,15.1905174,4.263102,0,1.00770521,100.363525,23.3689651,7.449154,24.4271164,43,607.5,405.000031,1215,0,13,0,0,6144,1084.11328,5059.88672,17.6450729,5.235,0,0.0009765625,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:20,0,0,0,0.78125,0,1.5625,0.390625,47,46,52,46,45,52,52,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,17.7030659,6.040891,0,1.08835793,100.363533,23.46434,7.479557,24.3967133,43,607.5,405.000031,1215,0,12,0,0,6144,1084.11328,5059.88672,17.6450729,4.9090004,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:20,3.125,12.5,3.90625,3.125,3.174603,6.25,5.34680462,53,56,53,52,53,56,56,3914.17676,3914.17676,3914.17676,3914.17676,3914.17676,3914.17676,36.18237,29.230463,0,2.12787652,100.3635,24.0649261,7.67100143,24.2052689,44,1404.50012,4006.80029,2809.00024,0,1,0,0,6144,1153.34766,4990.65234,18.7719345,24.8820019,0.009765625,0.0009765625,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:21,5.384612,11.5384579,9.230768,24.6153831,3.05361152,6.92307949,10.1243258,55,59,59,59,55,54,59,3914.177,3914.177,3914.177,3914.177,3914.177,3914.177,40.9861679,36.216774,0,2.45386052,100.36351,24.7611313,7.89292526,23.983345,44,1404.50012,4006.80029,2809.00024,1,1,0,0,6144,1162.65234,4981.34766,18.923378,24.777,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:22,7.8125,7.03125,6.25,39.84375,5.46875,7.03125,12.2395811,56,59,58,57,59,54,59,3914.1792,3914.1792,3914.1792,3914.1792,3914.1792,3914.1792,43.4563446,38.53123,0,2.699864,100.363571,25.2384415,8.045074,23.8311958,44,898.500061,4006.80029,1797.00012,0,1,0,0,6144,1170.30859,4973.69141,19.04799,23.537,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:23,0.78125,4.6875,4.6875,42.1875,1.5625,0,8.984375,60,60,65,59,61,60,64,3914.17651,3914.17651,3914.17651,3914.17651,3914.17651,3914.17651,42.0395851,37.0715332,0,2.94817376,100.3635,25.73153,8.202251,23.6740189,44,898.500061,4006.80029,1797.00012,6,2,0,0,6144,1169.48828,4974.51172,19.03464,22.84,0.0009765625,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:24,11.71875,3.90625,10.9375,28.90625,1.5625,3.125,10.0260439,57,60,58,59,59,56,60,3914.178,3914.178,3914.178,3914.178,3914.178,3914.178,40.1278572,35.30094,0,2.49091554,100.363541,26.1084976,8.322414,23.5538559,44,898.500061,4006.80029,1797.00012,0,1,0,0,6144,1168.42188,4975.578,19.0172825,22.52,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:25,28.125,3.90625,7.03125,14.0625,11.71875,3.90625,11.4583311,54,51,54,60,52,52,59,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,3914.17773,37.2766037,32.51089,0,2.37759757,100.363533,26.4511566,8.431641,23.44463,44,898.500061,3802.487,1797.00012,5,2,0,0,6144,1168.80469,4975.19531,19.0235138,22.107,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:26,8.4615345,3.076923,3.1129837,0.7692337,4.615384,2.30768919,3.723961,49,49,49,49,48,48,50,3914.175,3914.175,3914.175,3914.175,3914.175,903.2712,12.7522945,8.514447,0,1.29263866,100.363464,26.4984818,8.446728,23.4295425,44,898.500061,3802.487,1797.00012,0,1,0,0,6144,1168.80469,4975.19531,19.0235138,22.02,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:27,1.53846145,3.076923,3.05361152,0,3.076923,1.53846145,2.04740167,46,46,46,45,45,46,47,903.271851,903.271851,903.271851,903.271851,903.271851,903.271851,7.79271269,3.67394567,0,1.10785663,100.363541,26.4994125,8.447025,23.429245,45,898.500061,3802.487,1797.00012,0,1,0,0,6144,1168.99219,4975.008,19.0265656,22.197,0,0,27,18.34568,34.38772,0.03377533
10/09/2024 20:31:29,2.34375,3.125,3.125,5.481148,0.793647766,1.5625,2.7385056,46,45,46,44,45,46,47,2207.99829,3111.27026,3713.45166,3412.361,3914.17871,4014.54224,8.365691,4.23199749,0,1.14501762,100.363556,26.4663467,8.436485,23.439785,45,797.000061,2999.7002,1594.00012,0,2,0,0,6144,1168.30469,4975.69531,19.0153751,17.9380016,0,0,27,18.34568,34.38772,0.03377533
