,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/temperature/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/atigpu/0/clock/0,/atigpu/0/clock/1,/atigpu/0/voltage/0,/atigpu/0/load/0,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/load/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Memory","GPU Core","GPU Core","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Used Space"
11/08/2024 22:25:56,6.25,3.90625,0,0,0,0,1.69270635,6.25489855,99.81416,1.02848017,1.05962825,0.48048383,0.008688042,0.008840731,0.0141085247,49.375,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,2595.16821,2.6002295,63.9688034,9.814625,5.528206,400,1600,0.001,3,41,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.63500023,0.09765625,0.29296875,80.82738
11/08/2024 22:25:57,4.6875,7.03125,0.793647766,2.38095522,0,0,2.48222351,8.028685,99.81416,1.46225774,1.50017583,1.16762638,0.4279161,0.00447442243,0.0148995221,49.375,2395.54,2395.54,2595.16821,2595.16821,2595.16821,2595.16821,4.57735062,63.9481659,9.811459,5.531372,400,1600,,2,41,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.63500023,0.048828125,0.29296875,80.82738
11/08/2024 22:25:58,14.0625,7.03125,0,0,0,0,3.515625,6.743619,99.81416,1.36220884,1.10168016,0.7057821,0.135152683,0.00514823757,0.006462031,49.25,2395.54,1916.43188,1916.43188,1916.43188,2375.57715,2375.57715,3.31643414,63.96087,9.813408,5.52942276,400,1600,0.001,2,41,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.64100027,0.048828125,0.048828125,80.82738
11/08/2024 22:25:59,12.5,9.375,2.34375,0,0,0.78125,4.166669,6.14918137,99.81416,1.26126373,1.15007091,0.5316693,0.00378861744,0.004810943,0.009261064,49.25,3243.96021,3243.96021,3243.96021,2595.16821,2595.16821,2595.16821,2.96086478,63.9493828,9.81164551,5.531185,400,1600,0.001,1,41,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.64900017,0.09765625,0.68359375,80.82738
11/08/2024 22:26:00,8.59375,4.6875,0.806450844,0,0,0,2.34794617,4.54398251,99.81416,0.646087,0.6474199,0.206742346,0.0112282932,0.00540450076,0.0143861929,48.75,1397.39832,1397.39832,2375.57715,2375.57715,2375.57715,2375.57715,1.53126812,63.9125137,9.805988,5.53684235,400,1600,0.001,0,41,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.65200019,0.244140625,0.048828125,80.82738
11/08/2024 22:26:01,13.28125,6.25,3.78787518,0,0,0,3.88652682,5.43078375,99.81416,0.914839268,1.01151907,0.64897716,0.00341571914,0.007884417,0.0119867539,48.625,2969.47144,2969.47144,2969.47144,2375.57715,2375.57715,2375.57715,2.59862256,63.8303146,9.793377,5.54945374,400,1600,0.001,0,41,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.663,0.29296875,0.09765625,80.82738
11/08/2024 22:26:02,10.9375,1.5625,0,0,0,0,2.08333135,4.491848,99.81416,0.57013166,0.324964166,0.03199877,0.005299523,0.00375657924,0.0109795956,48.25,2969.47144,2969.47144,2375.57715,2375.57715,2375.57715,2375.57715,0.947130263,63.84503,9.795635,5.54719543,400,1600,0.001,0,41,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.683,0.244140625,0.048828125,80.82738
11/08/2024 22:26:03,10.15625,0,0,0,0,0,1.69270635,5.326255,99.81416,0.9988056,0.533806443,0.005585327,0.0056314,0.00769661833,0.01288842,48,2969.47144,2969.47144,2375.57715,2375.57715,2375.57715,2375.57715,1.56441391,63.82134,9.792,5.550831,400,400,0.001,2,41,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.69500017,0.244140625,0.048828125,80.82738
11/08/2024 22:26:04,3.91864777,1.61290169,0.78125,0,0,0.78125,1.18234158,4.253814,99.81416,0.395156026,0.2844319,0.10977947,0.00321073458,0.003391672,0.018569788,47.5,2969.47144,2375.57715,2375.57715,2375.57715,2375.57715,2375.57715,0.8145396,63.81888,9.791622,5.5512085,400,400,0.001,1,41,210.000015,374.999023,0,0,0,0,0,4096,132,3964,3.22265625,3.69900012,0.341796875,0.341796875,80.82738
