Timestamp,CPU Package Temperature (°C),CPU Power Consumption (W),Humidity (%)
2024-10-30 22:10:32,54.5,0.64,20
2024-10-30 22:10:34,55.5,1.07,20
2024-10-30 22:10:35,55.625,1.58,20
2024-10-30 22:10:36,56.875,1.70,20
2024-10-30 22:10:37,57.25,1.35,20
2024-10-30 22:10:39,58.125,1.66,20
2024-10-30 22:10:40,57.875,1.06,20
2024-10-30 22:10:41,57.375,0.87,20
2024-10-30 22:10:43,57.25,1.62,20
2024-10-30 22:10:44,57.25,1.43,20
2024-10-30 22:10:45,56.75,1.01,20
2024-10-30 22:10:47,56.375,0.77,20
2024-10-30 22:10:48,56.25,0.87,20
2024-10-30 22:10:49,55.875,1.29,20
2024-10-30 22:10:50,56.5,1.76,20
2024-10-30 22:10:52,57.125,1.69,20
2024-10-30 22:10:53,57.625,1.72,20
2024-10-30 22:10:54,59.375,1.62,20
2024-10-30 22:10:56,60.25,1.55,20
2024-10-30 22:10:57,60.625,1.88,20
2024-10-30 22:10:58,61.125,1.90,20
2024-10-30 22:11:00,61.0,2.08,20
2024-10-30 22:11:01,60.625,1.94,20
2024-10-30 22:11:02,59.5,1.14,20
2024-10-30 22:11:04,59.125,1.58,20
2024-10-30 22:11:05,59.125,1.88,20
2024-10-30 22:11:06,59.5,1.15,20
2024-10-30 22:11:07,59.375,1.47,20
2024-10-30 22:11:09,59.125,1.26,20
2024-10-30 22:11:10,59.25,1.86,20
2024-10-30 22:11:11,60.125,1.81,20
2024-10-30 22:11:13,60.75,2.00,20
2024-10-30 22:11:14,60.375,1.12,20
2024-10-30 22:11:15,60.125,1.68,20
2024-10-30 22:11:17,59.625,1.09,20
2024-10-30 22:11:18,59.75,1.93,20
2024-10-30 22:11:19,59.0,1.31,20
2024-10-30 22:11:21,59.625,2.01,20
2024-10-30 22:11:22,61.0,2.68,20
2024-10-30 22:11:24,62.25,2.19,20
2024-10-30 22:11:25,62.0,1.26,20
2024-10-30 22:11:26,60.875,1.03,20
